Staff Member,Room,Date,Time In,Time Out,Total Hours
Maya R.,Infants A,08/17/2026,6:28 AM,2:31 PM,8.05
Jordan K.,Infants A,08/17/2026,9:56 AM,6:04 PM,8.13
Priya M.,Infants A,08/17/2026,7:31 AM,4:32 PM,9.02
Luis T.,Infants B,08/17/2026,6:29 AM,2:33 PM,8.07
Hannah B.,Infants B,08/17/2026,10:03 AM,5:59 PM,7.93
Deshawn W.,Infants B,08/17/2026,7:30 AM,4:31 PM,9.02
Camila L.,Ones,08/17/2026,6:26 AM,2:32 PM,8.10
Owen C.,Ones,08/17/2026,9:56 AM,6:06 PM,8.17
Aisha H.,Ones,08/17/2026,7:27 AM,4:31 PM,9.07
Tyler D.,Twos A,08/17/2026,6:32 AM,2:35 PM,8.05
Sofia G.,Twos A,08/17/2026,10:02 AM,6:04 PM,8.03
Marcus P.,Twos A,08/17/2026,7:33 AM,4:31 PM,8.97
Elena S.,Twos B,08/17/2026,6:31 AM,2:34 PM,8.05
Noah A.,Twos B,08/17/2026,10:00 AM,6:03 PM,8.05
Grace F.,Twos B,08/17/2026,7:31 AM,4:30 PM,8.98
Andre N.,Threes,08/17/2026,6:32 AM,2:31 PM,7.98
Leila E.,Threes,08/17/2026,9:56 AM,6:00 PM,8.07
Ben V.,Threes,08/17/2026,7:27 AM,4:36 PM,9.15
Rosa J.,Fours A,08/17/2026,6:30 AM,2:30 PM,8.00
Kevin O.,Fours A,08/17/2026,10:02 AM,6:05 PM,8.05
Tasha R.,Fours A,08/17/2026,7:29 AM,4:32 PM,9.05
Emil K.,Fours B,08/17/2026,6:27 AM,2:36 PM,8.15
Nora M.,Fours B,08/17/2026,10:03 AM,6:00 PM,7.95
Maya R.,Infants A,08/18/2026,6:26 AM,2:33 PM,8.12
Jordan K.,Infants A,08/18/2026,10:00 AM,6:00 PM,8.00
Priya M.,Infants A,08/18/2026,7:26 AM,4:36 PM,9.17
Luis T.,Infants B,08/18/2026,6:26 AM,2:33 PM,8.12
Hannah B.,Infants B,08/18/2026,10:00 AM,6:03 PM,8.05
Deshawn W.,Infants B,08/18/2026,7:29 AM,4:34 PM,9.08
Camila L.,Ones,08/18/2026,6:29 AM,2:28 PM,7.98
Owen C.,Ones,08/18/2026,9:57 AM,6:06 PM,8.15
Aisha H.,Ones,08/18/2026,7:32 AM,4:36 PM,9.07
Tyler D.,Twos A,08/18/2026,6:32 AM,2:28 PM,7.93
Sofia G.,Twos A,08/18/2026,10:02 AM,6:04 PM,8.03
Marcus P.,Twos A,08/18/2026,7:31 AM,4:31 PM,9.00
Elena S.,Twos B,08/18/2026,6:32 AM,2:30 PM,7.97
Noah A.,Twos B,08/18/2026,9:56 AM,6:00 PM,8.07
Grace F.,Twos B,08/18/2026,7:32 AM,4:30 PM,8.97
Andre N.,Threes,08/18/2026,6:33 AM,2:31 PM,7.97
Leila E.,Threes,08/18/2026,10:00 AM,6:01 PM,8.02
Ben V.,Threes,08/18/2026,7:30 AM,4:29 PM,8.98
Rosa J.,Fours A,08/18/2026,6:26 AM,2:29 PM,8.05
Kevin O.,Fours A,08/18/2026,10:00 AM,6:02 PM,8.03
Tasha R.,Fours A,08/18/2026,7:31 AM,4:36 PM,9.08
Emil K.,Fours B,08/18/2026,6:28 AM,2:35 PM,8.12
Nora M.,Fours B,08/18/2026,10:00 AM,5:59 PM,7.98
Maya R.,Infants A,08/19/2026,6:31 AM,2:29 PM,7.97
Jordan K.,Infants A,08/19/2026,10:01 AM,6:03 PM,8.03
Priya M.,Infants A,08/19/2026,7:28 AM,4:32 PM,9.07
Luis T.,Infants B,08/19/2026,6:26 AM,2:34 PM,8.13
Hannah B.,Infants B,08/19/2026,10:03 AM,5:59 PM,7.93
Deshawn W.,Infants B,08/19/2026,7:28 AM,4:28 PM,9.00
Camila L.,Ones,08/19/2026,6:31 AM,2:33 PM,8.03
Owen C.,Ones,08/19/2026,9:57 AM,6:02 PM,8.08
Aisha H.,Ones,08/19/2026,7:28 AM,4:29 PM,9.02
Tyler D.,Twos A,08/19/2026,6:28 AM,2:34 PM,8.10
Sofia G.,Twos A,08/19/2026,10:02 AM,5:58 PM,7.93
Marcus P.,Twos A,08/19/2026,7:27 AM,4:33 PM,9.10
Elena S.,Twos B,08/19/2026,6:26 AM,2:35 PM,8.15
Noah A.,Twos B,08/19/2026,10:01 AM,6:06 PM,8.08
Grace F.,Twos B,08/19/2026,7:33 AM,4:34 PM,9.02
Andre N.,Threes,08/19/2026,6:30 AM,2:34 PM,8.07
Leila E.,Threes,08/19/2026,10:01 AM,6:03 PM,8.03
Ben V.,Threes,08/19/2026,7:31 AM,4:34 PM,9.05
Rosa J.,Fours A,08/19/2026,6:32 AM,2:31 PM,7.98
Kevin O.,Fours A,08/19/2026,9:57 AM,6:03 PM,8.10
Tasha R.,Fours A,08/19/2026,7:29 AM,4:35 PM,9.10
Emil K.,Fours B,08/19/2026,6:29 AM,2:32 PM,8.05
Nora M.,Fours B,08/19/2026,9:57 AM,6:01 PM,8.07
Maya R.,Infants A,08/20/2026,6:27 AM,2:35 PM,8.13
Jordan K.,Infants A,08/20/2026,9:59 AM,6:01 PM,8.03
Priya M.,Infants A,08/20/2026,7:29 AM,4:35 PM,9.10
Luis T.,Infants B,08/20/2026,6:29 AM,2:36 PM,8.12
Hannah B.,Infants B,08/20/2026,10:00 AM,6:03 PM,8.05
Deshawn W.,Infants B,08/20/2026,7:30 AM,4:34 PM,9.07
Camila L.,Ones,08/20/2026,6:33 AM,2:31 PM,7.97
Owen C.,Ones,08/20/2026,10:03 AM,6:05 PM,8.03
